n,time
3,0.087764978
,
3,0.099733591
,
3,0.09375
,
3,0.08078289
,
3,0.069813251
,
3,0.091753721
,
3,0.074801922
,
3,0.061833143
,
3,0.078790665
,
3,0.074799538
,
3,0.06582427
,
3,0.075796604
,
3,0.090757847
,
3,0.070811272
,
3,0.064825773
,
3,0.098741055
,
3,0.123664618
,
3,0.069812536
,
3,0.07081151
,
3,0.069812298
,
2,0.019947052
,
2,0.015957117
,
2,0.017951965
,
2,0.01894927
,
2,0.01695466
,
2,0.020944118
,
2,0.018959522
,
2,0.020934105
,
2,0.018949032
,
2,0.018949747
,
2,0.013963699
,
2,0.015955925
,
2,0.015958309
,
2,0.021940708
,
2,0.016954422
,
2,0.01695466
,
2,0.017952681
,
2,0.010970354
,
2,0.01695466
,
2,0.01595664
,
4,0.28324461
,
4,0.360035658
,
4,0.308176041
,
4,0.312165737
,
4,0.376992226
,
4,0.308175802
,
4,0.300197363
,
4,0.308175802
,
4,0.377988815
,
4,0.288229227
,
4,0.297204494
,
4,0.326129198
,
4,0.339093208
,
4,0.256344318
,
4,0.180521727
,
4,0.183474302
,
4,0.247339964
,
4,0.18550396
,
4,0.178522587
,
4,0.178567171
,
5,1.068128824
,
5,1.047308445
,
5,1.057173967
,
5,1.084098101
,
5,1.05221653
,
5,1.071104765
,
5,1.062160492
,
5,1.083133698
,
5,1.061162949
,
5,1.052157164
,
5,1.100059032
,
5,0.995338202
,
5,1.047230482
,
5,1.060132027
,
5,1.040220022
,
6,6.730004549
,
6,6.54948473
,
6,6.536557198
,
6,6.706208944
,
6,6.689083576
,
6,7.254598379
,
6,6.754938364
,
6,6.561454058
,
6,7.319452763
,
6,6.993303537
,
7,48.34203529
,
7,46.79531384
,
7,48.72093129
